GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
1022300067,1611661330,Dream,ATL,Atlanta,Starters,133.000000:36,14,44,0.318,2,10,0.2,15,22,0.682,5,11,16,11,5,5,8,10,45
1022300067,1611661330,Dream,ATL,Atlanta,Bench,66.000000:24,8,23,0.348,2,8,0.25,10,11,0.909,6,11,17,4,0,3,5,10,28
1022300153,1611661319,Aces,LVA,Las Vegas,Starters,139.000000:35,26,51,0.51,7,15,0.467,12,15,0.8,2,22,24,14,11,5,9,11,71
1022300153,1611661319,Aces,LVA,Las Vegas,Bench,60.000000:25,8,14,0.571,4,8,0.5,2,2,1.0,1,10,11,3,1,0,4,9,22
1022300153,1611661330,Dream,ATL,Atlanta,Starters,125.000000:50,23,47,0.489,2,14,0.143,6,8,0.75,4,12,16,15,4,4,10,14,54
1022300153,1611661330,Dream,ATL,Atlanta,Bench,74.000000:10,6,20,0.3,2,6,0.333,4,7,0.571,2,10,12,6,1,1,5,2,18
1022300078,1611661323,Sun,CON,Connecticut,Starters,140.000000:26,28,56,0.5,6,16,0.375,8,9,0.889,5,18,23,23,9,2,7,10,70
1022300078,1611661323,Sun,CON,Connecticut,Bench,59.000000:34,12,24,0.5,2,5,0.4,0,0,0.0,6,9,15,7,3,0,7,6,26
1022300078,1611661329,Sky,CHI,Chicago,Starters,150.000000:31,28,51,0.549,4,12,0.333,7,13,0.538,8,17,25,16,5,2,13,13,67
1022300078,1611661329,Sky,CHI,Chicago,Bench,41.000000:12,1,11,0.091,0,5,0.0,3,4,0.75,0,4,4,6,2,2,5,2,5
1022300056,1611661323,Sun,CON,Connecticut,Starters,159.000000:53,27,58,0.466,3,9,0.333,18,22,0.818,9,18,27,19,9,1,5,14,75
1022300056,1611661323,Sun,CON,Connecticut,Bench,65.000000:07,6,19,0.316,1,7,0.143,0,1,0.0,0,3,3,3,2,0,5,6,13
1022300056,1611661330,Dream,ATL,Atlanta,Starters,176.000000:25,29,56,0.518,4,13,0.308,15,18,0.833,3,24,27,21,3,4,16,19,77
1022300056,1611661330,Dream,ATL,Atlanta,Bench,48.000000:35,7,14,0.5,0,1,0.0,1,2,0.5,3,8,11,2,1,0,2,5,15
1022300083,1611661328,Storm,SEA,Seattle,Starters,144.000000:50,23,52,0.442,6,18,0.333,10,10,1.0,5,19,24,16,3,5,4,13,62
1022300083,1611661328,Storm,SEA,Seattle,Bench,50.000000:30,11,21,0.524,7,13,0.538,2,2,1.0,3,6,9,5,2,0,3,4,31
1022300083,1611661324,Lynx,MIN,Minnesota,Starters,157.000000:36,35,61,0.574,7,14,0.5,13,14,0.929,6,26,32,19,2,2,6,10,90
1022300083,1611661324,Lynx,MIN,Minnesota,Bench,42.000000:24,6,16,0.375,1,6,0.167,1,1,1.0,0,6,6,6,1,0,2,5,14
1022300219,1611661328,Storm,SEA,Seattle,Starters,137.000000:43,20,55,0.364,8,19,0.421,12,12,1.0,6,22,28,15,5,2,8,12,60
1022300219,1611661328,Storm,SEA,Seattle,Bench,62.000000:17,7,13,0.538,1,3,0.333,2,5,0.4,3,7,10,5,0,0,8,6,17
