player_id,player_name,active_flag,rookie_year,last_season,tbd,active_team
1630385,"Heal, Shyla",0,2021,2021,0,
1630113,"Hebard, Ruthy",0,2020,2023,0,
1631089,"Henderson, Destanni",0,2022,2024,0,
100082,"Henderson, Nekeshia",0,2001,2001,0,
100430,"Henderson, Tracy",0,1999,2003,0,
100336,"Henning, Sonja",0,1999,2003,0,
1630114,"Herbert Harrigan, Mikiah",1,2020,2024,0,mercury
100549,"Herrig, Amy",0,2000,2002,0,
201048,"Herrington, Armintie",0,2007,2015,0,
100538,"Hibbert, Katrina",0,2000,2000,0,
100048,"Hicks, Jessie",0,1997,2004,0,
1629567,"Hiedeman, Natisha",1,2019,2024,0,lynx
202255,"Hightower, Allison",0,2010,2017,0,
100452,"Hill, E.C.",0,2000,2001,0,
203401,"Hill, Tayler",0,2013,2019,0,
1631044,"Hillmon, Naz",1,2022,2024,0,dream
1628949,"Hillsman, Khaalia",0,2023,2023,0,
1628899,"Hines-Allen, Myisha",1,2018,2024,0,lynx
100250,"Hlede, Korie",0,1998,2002,0,
100908,"Hlede, Korie",0,1999,2002,0,
101033,"Hodges, Roneeka",0,2005,2015,0,
100928,"Hoffman, Ebony",0,2004,2014,0,
100356,"Holdsclaw, Chamique",0,1999,2010,0,
100421,"Holland-Corn, Kedra",0,1999,2006,0,
201895,"Hollingsworth, Quanitra",0,2009,2015,0,
1627680,"Hollivay, Rachel",0,2016,2017,0,
1627678,"Holmes, Bria",0,2016,2021,0,
100351,"Holmes, Joy",0,2000,2000,0,
1630115,"Holmes, Joyner",1,2020,2024,0,storm
201530,"Holmes, Sequoia",0,2008,2018,0,
201483,"Holt, Amber",0,2008,2012,0,
203835,"Hooper, Jordan",0,2014,2017,0,
204348,"Hoover, Andrea",0,2015,2015,0,
100408,"Hope, Kym",0,2000,2003,0,
203563,"Hopkins, Chelsea",0,2013,2018,0,
100071,"Hopson-Shelton, Susie",0,1997,1997,0,
201487,"Hornbuckle, Alexis",0,2008,2013,0,
1641651,"Horston, Jordan",1,2023,2024,0,storm
201501,"Houston, Charde",0,2008,2014,0,
202262,"Houts, Ashley",0,2010,2010,0,
1629500,"Howard, Anriel",0,2019,2019,0,
100431,"Howard, Jennifer",0,1999,1999,0,
203827,"Howard, Natasha",1,2014,2024,0,wings
1631009,"Howard, Rhyne",1,2022,2024,0,dream
204337,"Hrynko, Brittany",0,2015,2015,0,
1629570,"Huff, Megan",0,2020,2020,0,
1631086,"Hull, Lexie",1,2022,2024,0,fever
201488,"Humphrey, Tasha",0,2008,2009,0,
202645,"Ibekwe, Ify",0,2011,2017,0,
1629477,"Ionescu, Sabrina",1,2020,2024,0,liberty
101021,"Irvin, Sandora",0,2005,2011,0,
100364,"Ivanyi, Dalma",0,1999,2006,0,
100650,"Ivey, Niele",0,2001,2005,0,
100197,"Jackson, Angela",0,1998,1998,0,
1629505,"Jackson, Chloe",0,2019,2019,0,
100727,"Jackson, Deanna",0,2002,2006,0,
100867,"Jackson, Gwen",0,2003,2005,0,
100682,"Jackson, Lauren",0,2001,2012,0,
1642288,"Jackson, Rickea",1,2024,2024,0,sparks
100496,"Jackson, Tamicha",0,2000,2006,0,
100077,"Jackson, Tammy",0,1997,2002,0,
100034,"Jackson, Tia",0,1997,1997,0,
201050,"Jackson, Tiffany",0,2007,2017,0,
100935,"Jacobs, Amber",0,2004,2008,0,
203427,"James, Jasmine",0,2013,2013,0,
200678,"James, Tamara",0,2006,2007,0,
201896,"January, Briann",0,2009,2022,0,
202647,"Jarry, Rachel",0,2013,2013,0,
1627669,"Jefferson, Moriah",1,2016,2024,0,sky
203421,"Jeffery, Chucky",0,2013,2014,0,
201869,"Jekabsone-Zogota, Anete",0,2009,2014,0,
1627704,"Jenkins, Alisia",0,2020,2020,0,
1641653,"Joens, Ashley",0,2023,2023,0,
100939,"Joens, Cathy",0,2007,2008,0,
1629546,"Johannès, Marine",0,2019,2023,0,
100180,"Johns Kimbrough, Pollyanna",0,1998,2004,0,
100100,"Johnson, Adrienne",0,1997,2003,0,
100870,"Johnson, Chandra",0,2003,2003,0,
203017,"Johnson, Glory",0,2012,2020,0,
100668,"Johnson, Jaclyn",0,2001,2001,0,
100242,"Johnson, LaTonya",0,1998,2004,0,
100290,"Johnson, Leslie",0,1998,1998,0,
100369,"Johnson, Niesa",0,1999,2000,0,
100410,"Johnson, Shannon",0,1999,2009,0,
203018,"Johnson, Shenise",0,2012,2020,0,
1630118,"Johnson, Stella",0,2020,2021,0,
101024,"Johnson, Temeka",0,2005,2015,0,
100233,"Johnson, Tiffani",0,1998,2006,0,
100103,"Johnson, Vickie",0,1997,2009,0,
100432,"Jolly Harper, Kellie",0,1999,1999,0,
1628283,"Jones, Alexis",0,2017,2020,0,
100723,"Jones, Asjha",0,2002,2015,0,
1628280,"Jones, Brionna",1,2017,2024,0,sun
100941,"Jones, Chandi",0,2004,2006,0,
1641650,"Jones, Haley",1,2023,2024,0,dream
100558,"Jones, Jameka",0,2000,2000,0,
1630119,"Jones, Jazmine",0,2020,2022,0,
1627673,"Jones, Jonquel",1,2016,2024,0,liberty
